Link,Occurred,City,State,Country,Shape,Summary,Media,Explanation
Open !,01/16/2025 19:05,Fort Thomas,KY,USA,Diamond,Black square with red and gold lights pulsing. Slowed down and then accelerated out of sight,,
Open !,01/16/2025 15:30,Stafford,VA,USA,Disk,Saw a grey disc with blue lights and antenna zig zagging through sky,,
Open !,01/11/2025 01:20,Denver,CO,USA,Other,"It was a weird shaped object. It seemed like it may have had arms, but circular in shape.",Y,
Open !,01/10/2025 21:02,Eugene,OR,USA,Orb,UAP Over Gillespie Butte Park Eugene Oregon 01/10/2025 9:02pm,Y,
Open !,01/10/2025 03:15,Loon Lake,WA,USA,Changing,"Spotted it a mile away as a yellow orb bright light, once I came closer, it appeared to transition into some kind of plane or drone",,Drone?
Open !,01/09/2025 23:30,San Vicente,Nayarit,Mexico,Diamond,"It was hovering at a low altitude, it had no propellers, it had no turbines, it had a magnetic sound, then it flew away.",,
Open !,01/08/2025 03:00,Athens,GA,USA,Circle,"Heard/felt a deep pulsating sound & higher one. It emitted red light, hovered, moved left to right. I got scared ran inside.",,
Open !,01/07/2025 21:45,Lyefjell,Rogaland,Norway,Cylinder,Dark green ufo sighting in Lyefjell Norway,,
Open !,01/07/2025 06:45,Henriette,MN,USA,Cigar,Large Cigar shaped object,,
Open !,01/06/2025 02:00,Webster,TX,USA,Triangle,I stepped outside my garage door for a smoke and noticed a seemingly impossible aircraft like I have never seen before in my life.,Y,
Open !,01/05/2025 23:14,Chapel Hill,NC,USA,Rectangle,Moving rectangular object with 20' x 20' bottom (approx) with red/green lights on opposite sides; other 2 sides had white lights.,,
Open !,01/04/2025 19:00,Carrollton,TX,USA,Other,"Object seen multiple times over the course of an hour, stationary and moving",Y,
Open !,01/03/2025 18:00,Arden-Arcade,CA,USA,Other,"I saw a craft that I thought was a plane, but it began ascending and descending then wavering between both, it came toward my car",Y,
,,,,,,,,
Open !,10/06/2025 20:27,Skaneateles,NY,USA,Disk,"Spinning lights changing color, 40 foot long flying saucer, no sound for being close by",,
Open !,10/05/2025 21:19,Joplin,MO,USA,Changing,Our location continues to have close encounters of first second and we now suspect of the third kind,Y,
Open !,10/05/2025 19:30,Houma,LA,USA,Disk,"Strange object photographed from oil rig in the gulf, was stationary then moved at unusually high rate of speed to the north.",Y,
Open !,10/03/2025 03:00,Bangkok,Krung Thep Maha Nakhon,Thailand,Other,I was in bed.I went to the bathroom.I see an submarine-like object in the sky,Y,
Open !,09/30/2025 00:29,Lisbon,Lisbon,Portugal,Formation,Crafts coming out of the atlantic ocean,,
Open !,09/13/2025 03:00,North Platte,NE,USA,Unknown,Might have witnessed abduction of person across the alley from me. Don't want to report because its crazy. Putting it out there anyway.,,
Open !,09/01/2025 23:15,Sabaneta,Antioquia,Colombia,Other,There was bright lights in the middle and several orbs rotating around it perfectly as it moved through the sky.,Y,Balloon?
Open !,08/30/2025 22:30,Clinton,UT,USA,Sphere,"I first spotted one sphere shape uap, then two more joined in a triangular formation.",Y,
Open !,08/27/2025 20:30,Gill,MA,USA,Disk,Dull black barbell shaped disk top with band of light and two groups slow pulsing lights,Y,
Open !,08/21/2025 21:30,Cape Saint Marys,NS,Canada,Orb,Bright white orb light hovering above ocean,Y,
Open !,08/19/2025 07:15,Wynnum,Queensland,Australia,Disk,Looked up in the sky and I saw this grey saucer shaped Craft. It was huge. Early but daylight. Towards the east. Stationary not moving.,Y,
Open !,08/16/2025 21:00,Arkoma,OK,USA,Disk,Was within 50 to 75 feet of craft.,,
Open !,08/14/2025 22:15,Hayfork,CA,USA,Disk,Saucer shaped craft with hundreds of pulsing brightening/dimming lights covering the surface. It blended into the night sky very well,Y,
Open !,08/09/2025 02:00,Dover,NH,USA,Triangle,"Overnight trucker saw silent, erratic triangular craft with 2 white lights & 1 flashing red, floating before vanishing.",,
Open !,08/05/2025 08:35,Guapé,Minas Gerais,Brazil,Orb,"Multiple white orbs moving erratically above horizon, seen from FL360, NW of Guapé, Brazil.",Y,
Open !,08/03/2025 03:55,Surrey,BC,Canada,Triangle,at foot of driveway facing west . looked straight up and viewed a triangular large craft go over me,,
Open !,07/24/2025 23:15,Jonesborough,TN,USA,Cross,"Bright light with blinking lights moved, hovered, then flew over me. Huge, silent, gray craft hovered, then vanished to the west.",Y,
Open !,07/23/2025 14:00,York,PA,USA,Disk,UFO saucer hovered within 50 feet of me and my wife!,,
Open !,07/13/2025 21:35,Nacogdoches,TX,USA,Disk,"UFO filmed hovering above tree line in Nacogdoches, TX, changing intensity and appearing structured.",Y,
Open !,07/09/2025 23:15,Topeka,KS,USA,Triangle,"Black triangle craft, about 15-20 ft long, silent and fast, bright white circle lights in L-shape beneath, flew low between yards.",,
Open !,07/02/2025 19:45,Ashoknagar Kalyangarh,West Bengal,India,Disk,"Red flash lit up clouds; rotating glowing UFO hovered, teleported & vanished near Ashokenagar Boys' School, India.",,
Open !,07/01/2025 21:05,Ocala,FL,USA,Triangle,"Saw silent, low-flying triangular craft with bright circular lights; hovered above trees, vanished.",Y,
Open !,06/25/2025 03:00,Shanghai,Shanghai,China,Star,High Altitude Objects Flying Hypersonic Speeds,Y,
Open !,06/22/2025 19:45,Harrison Township,MI,USA,Orb,Something electronic like a small drone with the body and movement of an extremely large flying insect emerges from river.,,
Open !,06/14/2025 15:30,Meridian,ID,USA,Disk,"I saw a dull black huge disc shaped with another layer of craft under that, but connected. Spires high up from the top & bottom.",Y,
Open !,05/19/2025 21:57,Johnstown,CO,USA,Orb,Bright white light seen overhead traveling very fast southbound directly over I25. Object was being persued by blackhawk helicopter.,Y,
Open !,05/17/2025 22:30,Oak Hill,FL,USA,Triangle,Huge triangle craft with escorts flew silently over my property before disappearing.,,
Open !,05/16/2025 23:00,Los Olivos,CA,USA,Unknown,I saw a huge glowing object I thought it had to be winery sign but was too huge and high in sky mother ship fading in/out of sight.,Y,
Open !,05/11/2025 19:15,Minneapolis,MN,USA,Changing,"An hour before sunset, a black and silver (reflective) rhombus-shaped craft appeared over the lake area. It was hovering and rotating",,
Open !,05/07/2025 23:20,North Richland Hills,TX,USA,Triangle,Large black triangle shaped object the size of a football field with pale green lights.,,
Open !,05/07/2025 02:49,Shermans Dale,PA,USA,Orb,"Bright light shining out of our woods, then moved over my mother-in-laws house (our neighbor).",Y,
Open !,05/05/2025 08:30,Houma,LA,USA,Teardrop,Clearly witnessed a tear shaped ufo over our airbase,,
Open !,05/02/2025 20:30,Painted Post,NY,USA,Disk,"black disk, no lights",Y,
Open !,05/02/2025 03:15,Holladay,UT,USA,Unknown,I was woken up somehow but felt glued to my bed and witnessed 2 maybe 3 little beings behind not even a foot tall at the base of my bed,,
Open !,04/30/2025 20:09,Dunnellon,FL,USA,Other,V shaped spacecraft flew over my house.,Y,
Open !,04/27/2025 23:30,Auburndale,WI,USA,Teardrop,I was on the highway driving and looked to my left and there was a huge machine like thing with lights hovering,,
Open !,04/17/2025 22:05,Pornic,Pays de la Loire,France,Triangle,Three red lights in a very large triangle and a single entity,,
Open !,04/15/2025 02:00,Searcy,AR,USA,Unknown,"I felt uneasy as I was driving, my vehicle started driving slower than the set cc setting, flew faster than my eyes could keep up with.",,
Open !,04/12/2025 21:15,Greater Sudbury,ON,Canada,Changing,Orange object was half transparent on the top and more soild on the bottom. It also flashed extremely bright when it first appeared,Y,
Open !,04/09/2025 23:56,Grand Rapids,MI,USA,Unknown,"Very bright light outside window, went outside and saw a very large, silent patch of black.",,
Open !,04/04/2025 21:00,Porterville,CA,USA,Other,"Octahedron, dark metallic, 600-900ft away, followed parallel w vehicle at same speed, turned 90 degrees away, no lights or sounds.",Y,
Open !,04/02/2025 14:30,Schuylerville,NY,USA,Sphere,"I saw a 25-30' bubble with red, white and yellow swirling colors, clear near left/bottom, hovering by treeline",,
Open !,03/28/2025 01:30,Lakewood,CO,USA,Triangle,"A large triangular craft with an X shaped cross structure passed overhead, followed by a helicopter sweeping the sky with a spotlight.",Y,
Open !,03/27/2025 05:12,Allenwood,PA,USA,Triangle,"Saw narrow triangle rising in the sky, triangle shitted to horizontal position and moved NE, moved to front deck to see it leaving.",,
Open !,03/24/2025 22:40,Nampa,ID,USA,Chevron,V or chevron shaped flying object,,
Open !,03/24/2025 22:20,Boise,ID,USA,Triangle,I caught movement in the sky above me at about 10:20 PM,,
Open !,03/19/2025 22:30,Lone Pine,CA,USA,Light,"Bright light, a connection, a show of silent power and speed.",,
Open !,03/19/2025 06:35,Manheim,PA,USA,Cigar,"Oblong cigar shaped,extremely bright white flashing. Object was hoving to the north approx 2 miles",Y,
Open !,03/17/2025 05:00,Oak Ridge,TN,USA,Triangle,Floating slowly moving triangular craft with 3 red lights at vertices,,
Open !,03/16/2025 02:20,Oklahoma City,OK,USA,Star,"Saw a light in the sky moving back and forth and finally dropping down to land, seemingly caused street light to go out",Y,
Open !,03/15/2025 21:36,Passage West,County Cork,Ireland,Disk,Dome-like/square object ascending into sky with shining white light from the top.,Y,
Open !,03/14/2025 23:00,San Luis Obispo,CA,USA,Chevron,Large silent aircraft lights that didn’t reflect flying low slowly over a hill approaching a farm the memory is hard to focus on,Y,
Open !,03/14/2025 01:01,Olathe,KS,USA,Chevron,flying wing boomerang ufo during lunar eclipse,Y,
Open !,03/13/2025 22:46,Michigan City,IN,USA,Oval,Emitted a pixelated shimmer of a opal but mermaid in color. Blinked as if an eye closing twice. Lost time,,
Open !,03/11/2025 16:15,Kansas City,MO,USA,Formation,Was driving in my car right past it no more then 100 ft above my car strange black shape completely stationary,,
Open !,03/11/2025 00:00,Yokote,Akita,Japan,Star,"Multiple star looking craft chasing each other at variable speeds, directions, and light intensity.",Y,Starlink (Racetrack)?
Open !,03/10/2025 17:44,Monroe,WA,USA,Oval,Red and black orb shape object,,
Open !,03/08/2025 23:22,Hemlock,NY,USA,Cigar,"Saw a massive, stretched egg-shaped object, gray with lights on the bottom. Moved, stopped, moved again in ways nothing should.",,
Open !,03/08/2025 21:33,Antwerp,Flanders,Belgium,Cigar,"Metallic, cylindrical UFO hovered over Antwerp for 30 sec then vanished eastward at high speed. No sound or propulsion, odd EM effects",,
Open !,03/08/2025 14:30,Lino Lakes,MN,USA,Egg,"Silver egg/circular shaped object hovering above tree line, then vanished",,
Open !,03/06/2025 19:36,Franklinton,LA,USA,Triangle,I saw 2 triangle shaped craft moving very slowly 20 ft above the treetops,,
Open !,03/02/2025 20:00,Collins,GA,USA,Light,"Spotted 2 UAPs in 24 hrs. Silent, flashing red & white lights, no FAA nav lights. Saw dark gray structure. Chased by car but lost it.",,Drone?
Open !,03/02/2025 14:01,Proctor,MN,USA,Rectangle,"Huge triangular shaped object/craft/UAP, approximately the size of 4 city busses stacked together side by side",,
Open !,02/27/2025 19:15,Laguna Beach,CA,USA,Triangle,Saw a large triangle craft standing on the beach,Y,
Open !,02/26/2025 20:10,Copalis Beach,WA,USA,Triangle,"I'm guessing approximately 100 foot triangle, silent, stationary, and then slowly moving over me in my car just above the tree tops",Y,
Open !,02/24/2025 18:35,Huntington,NY,USA,Orb,Blackhawk helicopter (later confirmed with public flight data) pursuing a brilliant white orb.,,
Open !,02/21/2025 22:14,Mechanicville,NY,USA,Rectangle,5-6 drones flying at 500 feet from north to south chased by a large helicopter. Each drone had a single flood light shining down.,,Drone?
Open !,02/20/2025 22:00,McAllen,TX,USA,Orb,Color changing light orb that disappeared and reappeared,Y,
Open !,02/20/2025 20:45,Punta Cana,La Altagracia Province,Dominican Republic,Changing,"3 crafts, close proximity, the third followed us for 8-10 minutes",,
Open !,02/20/2025 19:01,Johnston City,IL,USA,Disk,A metallic disc was hovering above the lake.,,
Open !,02/14/2025 19:00,Windham,NH,USA,Triangle,Getting off highway in car with family we saw two football field wide triangle objects floating or slowly moving north above windham,,
Open !,02/12/2025 21:30,San Antonio,TX,USA,Chevron,Large craft with multiple white lights.,,Aircraft?
Open !,02/07/2025 18:23,West Valley City,UT,USA,Triangle,I just woke up! And I usually see outside my windows when I wake up and I saw this triangular prism shaped craft above the trees,Y,
Open !,01/31/2025 08:31,Taylor Mill,KY,USA,Changing,"noticed a strange black, silent craft",Y,
Open !,01/27/2025 21:30,Athens,GA,USA,Other,Noticed bright blue glowing lights behind subdivision tonight and saw a huge upside-down Pyramid rotating glowing red on bottom,,
Open !,01/27/2025 06:45,Longview,WA,USA,Triangle,"Saw unusual lights in distance, craft crossed over me from east of I5 to west, flew low and slow. Was big triangle.",,
Open !,01/26/2025 05:58,Oakland,CA,USA,Disk,I dont think i was dreaming but i saw two saucers fly towards me from the sky with lights and then an alien appear in my apartment,,Dream?
Open !,01/26/2025 00:37,Leeds,ME,USA,Other,Sphere descended from the sky and hovered about 40 feet off the ground. A tube of blue light came down and touched the Earth.,,
Open !,01/25/2025 17:59,Mount Vernon,NY,USA,Disk,The UFO was hovering approximately 250 above my apartment building,,
Open !,01/22/2025 19:30,,,Mexico,Oval,Oval shape craft sighted through the cockpit over the Gulf of Mexico,,
Open !,01/22/2025 02:02,Saint Marys,ON,Canada,Unknown,"Driving home, came up hill and blinded by bright red and white lights.",,Drone?
Open !,01/21/2025 22:35,Germantown,WI,USA,Circle,My husband was sleeping and I was on the brink of sleep. We heard a LOUD noise. I jumped out of bed and saw a UFO flying over our pond.,Y,
Open !,01/20/2025 20:07,Watson Lake,YT,Canada,Sphere,"A sphere with three bright white feather like surrounding it, I saw this in detail it was spectacular",Y,
Open !,01/20/2025 06:20,Coos Bay,OR,USA,Circle,I counted thirty objects appear out of the west and maintained a heading traveling north,,
Open !,01/19/2025 20:44,Nuggetty,Victoria,Australia,Circle,Disk shaped object captured in very clear photos,Y,
Open !,01/19/2025 03:00,Port St. Lucie,FL,USA,Changing,"About 3am my daughter asleep , woke up with light blinding her while in bed from neighbor's house. Object quiet but above bamboo tree.",,
Open !,01/17/2025 04:04,Gresham,SC,USA,Egg,"Out this world - shaped like an egg and almost the size of a car, didn’t move in the powerful wind, very close.",Y,
Open !,01/16/2025 19:05,Fort Thomas,KY,USA,Diamond,Black square with red and gold lights pulsing. Slowed down and then accelerated out of sight,,
Open !,01/16/2025 15:30,Stafford,VA,USA,Disk,Saw a grey disc with blue lights and antenna zig zagging through sky,,
Open !,01/11/2025 01:20,Denver,CO,USA,Other,"It was a weird shaped object. It seemed like it may have had arms, but circular in shape.",Y,
Open !,01/10/2025 21:02,Eugene,OR,USA,Orb,UAP Over Gillespie Butte Park Eugene Oregon 01/10/2025 9:02pm,Y,
Open !,01/10/2025 03:15,Loon Lake,WA,USA,Changing,"Spotted it a mile away as a yellow orb bright light, once I came closer, it appeared to transition into some kind of plane or drone",,Drone?
Open !,01/09/2025 23:30,San Vicente,Nayarit,Mexico,Diamond,"It was hovering at a low altitude, it had no propellers, it had no turbines, it had a magnetic sound, then it flew away.",,
Open !,01/08/2025 03:00,Athens,GA,USA,Circle,"Heard/felt a deep pulsating sound & higher one. It emitted red light, hovered, moved left to right. I got scared ran inside.",,
Open !,01/07/2025 21:45,Lyefjell,Rogaland,Norway,Cylinder,Dark green ufo sighting in Lyefjell Norway,,
Open !,01/07/2025 06:45,Henriette,MN,USA,Cigar,Large Cigar shaped object,,
Open !,01/06/2025 02:00,Webster,TX,USA,Triangle,I stepped outside my garage door for a smoke and noticed a seemingly impossible aircraft like I have never seen before in my life.,Y,
Open !,01/05/2025 23:14,Chapel Hill,NC,USA,Rectangle,Moving rectangular object with 20' x 20' bottom (approx) with red/green lights on opposite sides; other 2 sides had white lights.,,
Open !,01/04/2025 19:00,Carrollton,TX,USA,Other,"Object seen multiple times over the course of an hour, stationary and moving",Y,
Open !,01/03/2025 18:00,Arden-Arcade,CA,USA,Other,"I saw a craft that I thought was a plane, but it began ascending and descending then wavering between both, it came toward my car",Y,
,,,,,,,,
Open !,10/06/2025 20:27,Skaneateles,NY,USA,Disk,"Spinning lights changing color, 40 foot long flying saucer, no sound for being close by",,
Open !,10/05/2025 21:19,Joplin,MO,USA,Changing,Our location continues to have close encounters of first second and we now suspect of the third kind,Y,
Open !,10/05/2025 19:30,Houma,LA,USA,Disk,"Strange object photographed from oil rig in the gulf, was stationary then moved at unusually high rate of speed to the north.",Y,
Open !,10/03/2025 03:00,Bangkok,Krung Thep Maha Nakhon,Thailand,Other,I was in bed.I went to the bathroom.I see an submarine-like object in the sky,Y,
Open !,09/30/2025 00:29,Lisbon,Lisbon,Portugal,Formation,Crafts coming out of the atlantic ocean,,
Open !,09/13/2025 03:00,North Platte,NE,USA,Unknown,Might have witnessed abduction of person across the alley from me. Don't want to report because its crazy. Putting it out there anyway.,,
Open !,09/01/2025 23:15,Sabaneta,Antioquia,Colombia,Other,There was bright lights in the middle and several orbs rotating around it perfectly as it moved through the sky.,Y,Balloon?
Open !,08/30/2025 22:30,Clinton,UT,USA,Sphere,"I first spotted one sphere shape uap, then two more joined in a triangular formation.",Y,
Open !,08/27/2025 20:30,Gill,MA,USA,Disk,Dull black barbell shaped disk top with band of light and two groups slow pulsing lights,Y,
Open !,08/21/2025 21:30,Cape Saint Marys,NS,Canada,Orb,Bright white orb light hovering above ocean,Y,
Open !,08/19/2025 07:15,Wynnum,Queensland,Australia,Disk,Looked up in the sky and I saw this grey saucer shaped Craft. It was huge. Early but daylight. Towards the east. Stationary not moving.,Y,
Open !,08/16/2025 21:00,Arkoma,OK,USA,Disk,Was within 50 to 75 feet of craft.,,
Open !,08/14/2025 22:15,Hayfork,CA,USA,Disk,Saucer shaped craft with hundreds of pulsing brightening/dimming lights covering the surface. It blended into the night sky very well,Y,
Open !,08/09/2025 02:00,Dover,NH,USA,Triangle,"Overnight trucker saw silent, erratic triangular craft with 2 white lights & 1 flashing red, floating before vanishing.",,
Open !,08/05/2025 08:35,Guapé,Minas Gerais,Brazil,Orb,"Multiple white orbs moving erratically above horizon, seen from FL360, NW of Guapé, Brazil.",Y,
Open !,08/03/2025 03:55,Surrey,BC,Canada,Triangle,at foot of driveway facing west . looked straight up and viewed a triangular large craft go over me,,
Open !,07/24/2025 23:15,Jonesborough,TN,USA,Cross,"Bright light with blinking lights moved, hovered, then flew over me. Huge, silent, gray craft hovered, then vanished to the west.",Y,
Open !,07/23/2025 14:00,York,PA,USA,Disk,UFO saucer hovered within 50 feet of me and my wife!,,
Open !,07/13/2025 21:35,Nacogdoches,TX,USA,Disk,"UFO filmed hovering above tree line in Nacogdoches, TX, changing intensity and appearing structured.",Y,
Open !,07/09/2025 23:15,Topeka,KS,USA,Triangle,"Black triangle craft, about 15-20 ft long, silent and fast, bright white circle lights in L-shape beneath, flew low between yards.",,
Open !,07/02/2025 19:45,Ashoknagar Kalyangarh,West Bengal,India,Disk,"Red flash lit up clouds; rotating glowing UFO hovered, teleported & vanished near Ashokenagar Boys' School, India.",,
Open !,07/01/2025 21:05,Ocala,FL,USA,Triangle,"Saw silent, low-flying triangular craft with bright circular lights; hovered above trees, vanished.",Y,
Open !,06/25/2025 03:00,Shanghai,Shanghai,China,Star,High Altitude Objects Flying Hypersonic Speeds,Y,
Open !,06/22/2025 19:45,Harrison Township,MI,USA,Orb,Something electronic like a small drone with the body and movement of an extremely large flying insect emerges from river.,,
Open !,06/14/2025 15:30,Meridian,ID,USA,Disk,"I saw a dull black huge disc shaped with another layer of craft under that, but connected. Spires high up from the top & bottom.",Y,
Open !,05/19/2025 21:57,Johnstown,CO,USA,Orb,Bright white light seen overhead traveling very fast southbound directly over I25. Object was being persued by blackhawk helicopter.,Y,
Open !,05/17/2025 22:30,Oak Hill,FL,USA,Triangle,Huge triangle craft with escorts flew silently over my property before disappearing.,,
Open !,05/16/2025 23:00,Los Olivos,CA,USA,Unknown,I saw a huge glowing object I thought it had to be winery sign but was too huge and high in sky mother ship fading in/out of sight.,Y,
Open !,05/11/2025 19:15,Minneapolis,MN,USA,Changing,"An hour before sunset, a black and silver (reflective) rhombus-shaped craft appeared over the lake area. It was hovering and rotating",,
Open !,05/07/2025 23:20,North Richland Hills,TX,USA,Triangle,Large black triangle shaped object the size of a football field with pale green lights.,,
Open !,05/07/2025 02:49,Shermans Dale,PA,USA,Orb,"Bright light shining out of our woods, then moved over my mother-in-laws house (our neighbor).",Y,
Open !,05/05/2025 08:30,Houma,LA,USA,Teardrop,Clearly witnessed a tear shaped ufo over our airbase,,
Open !,05/02/2025 20:30,Painted Post,NY,USA,Disk,"black disk, no lights",Y,
Open !,05/02/2025 03:15,Holladay,UT,USA,Unknown,I was woken up somehow but felt glued to my bed and witnessed 2 maybe 3 little beings behind not even a foot tall at the base of my bed,,
Open !,04/30/2025 20:09,Dunnellon,FL,USA,Other,V shaped spacecraft flew over my house.,Y,
Open !,04/27/2025 23:30,Auburndale,WI,USA,Teardrop,I was on the highway driving and looked to my left and there was a huge machine like thing with lights hovering,,
Open !,04/17/2025 22:05,Pornic,Pays de la Loire,France,Triangle,Three red lights in a very large triangle and a single entity,,
Open !,04/15/2025 02:00,Searcy,AR,USA,Unknown,"I felt uneasy as I was driving, my vehicle started driving slower than the set cc setting, flew faster than my eyes could keep up with.",,
Open !,04/12/2025 21:15,Greater Sudbury,ON,Canada,Changing,Orange object was half transparent on the top and more soild on the bottom. It also flashed extremely bright when it first appeared,Y,
Open !,04/09/2025 23:56,Grand Rapids,MI,USA,Unknown,"Very bright light outside window, went outside and saw a very large, silent patch of black.",,
Open !,04/04/2025 21:00,Porterville,CA,USA,Other,"Octahedron, dark metallic, 600-900ft away, followed parallel w vehicle at same speed, turned 90 degrees away, no lights or sounds.",Y,
Open !,04/02/2025 14:30,Schuylerville,NY,USA,Sphere,"I saw a 25-30' bubble with red, white and yellow swirling colors, clear near left/bottom, hovering by treeline",,
Open !,03/28/2025 01:30,Lakewood,CO,USA,Triangle,"A large triangular craft with an X shaped cross structure passed overhead, followed by a helicopter sweeping the sky with a spotlight.",Y,
Open !,03/27/2025 05:12,Allenwood,PA,USA,Triangle,"Saw narrow triangle rising in the sky, triangle shitted to horizontal position and moved NE, moved to front deck to see it leaving.",,
Open !,03/24/2025 22:40,Nampa,ID,USA,Chevron,V or chevron shaped flying object,,
Open !,03/24/2025 22:20,Boise,ID,USA,Triangle,I caught movement in the sky above me at about 10:20 PM,,
Open !,03/19/2025 22:30,Lone Pine,CA,USA,Light,"Bright light, a connection, a show of silent power and speed.",,
Open !,03/19/2025 06:35,Manheim,PA,USA,Cigar,"Oblong cigar shaped,extremely bright white flashing. Object was hoving to the north approx 2 miles",Y,
Open !,03/17/2025 05:00,Oak Ridge,TN,USA,Triangle,Floating slowly moving triangular craft with 3 red lights at vertices,,
Open !,03/16/2025 02:20,Oklahoma City,OK,USA,Star,"Saw a light in the sky moving back and forth and finally dropping down to land, seemingly caused street light to go out",Y,
Open !,03/15/2025 21:36,Passage West,County Cork,Ireland,Disk,Dome-like/square object ascending into sky with shining white light from the top.,Y,
Open !,03/14/2025 23:00,San Luis Obispo,CA,USA,Chevron,Large silent aircraft lights that didn’t reflect flying low slowly over a hill approaching a farm the memory is hard to focus on,Y,
Open !,03/14/2025 01:01,Olathe,KS,USA,Chevron,flying wing boomerang ufo during lunar eclipse,Y,
Open !,03/13/2025 22:46,Michigan City,IN,USA,Oval,Emitted a pixelated shimmer of a opal but mermaid in color. Blinked as if an eye closing twice. Lost time,,
Open !,03/11/2025 16:15,Kansas City,MO,USA,Formation,Was driving in my car right past it no more then 100 ft above my car strange black shape completely stationary,,
Open !,03/11/2025 00:00,Yokote,Akita,Japan,Star,"Multiple star looking craft chasing each other at variable speeds, directions, and light intensity.",Y,Starlink (Racetrack)?
Open !,03/10/2025 17:44,Monroe,WA,USA,Oval,Red and black orb shape object,,
Open !,03/08/2025 23:22,Hemlock,NY,USA,Cigar,"Saw a massive, stretched egg-shaped object, gray with lights on the bottom. Moved, stopped, moved again in ways nothing should.",,
Open !,03/08/2025 21:33,Antwerp,Flanders,Belgium,Cigar,"Metallic, cylindrical UFO hovered over Antwerp for 30 sec then vanished eastward at high speed. No sound or propulsion, odd EM effects",,
Open !,03/08/2025 14:30,Lino Lakes,MN,USA,Egg,"Silver egg/circular shaped object hovering above tree line, then vanished",,
Open !,03/06/2025 19:36,Franklinton,LA,USA,Triangle,I saw 2 triangle shaped craft moving very slowly 20 ft above the treetops,,
Open !,03/02/2025 20:00,Collins,GA,USA,Light,"Spotted 2 UAPs in 24 hrs. Silent, flashing red & white lights, no FAA nav lights. Saw dark gray structure. Chased by car but lost it.",,Drone?
Open !,03/02/2025 14:01,Proctor,MN,USA,Rectangle,"Huge triangular shaped object/craft/UAP, approximately the size of 4 city busses stacked together side by side",,
Open !,02/27/2025 19:15,Laguna Beach,CA,USA,Triangle,Saw a large triangle craft standing on the beach,Y,
Open !,02/26/2025 20:10,Copalis Beach,WA,USA,Triangle,"I'm guessing approximately 100 foot triangle, silent, stationary, and then slowly moving over me in my car just above the tree tops",Y,
Open !,02/24/2025 18:35,Huntington,NY,USA,Orb,Blackhawk helicopter (later confirmed with public flight data) pursuing a brilliant white orb.,,
Open !,02/21/2025 22:14,Mechanicville,NY,USA,Rectangle,5-6 drones flying at 500 feet from north to south chased by a large helicopter. Each drone had a single flood light shining down.,,Drone?
Open !,02/20/2025 22:00,McAllen,TX,USA,Orb,Color changing light orb that disappeared and reappeared,Y,
Open !,02/20/2025 20:45,Punta Cana,La Altagracia Province,Dominican Republic,Changing,"3 crafts, close proximity, the third followed us for 8-10 minutes",,
Open !,02/20/2025 19:01,Johnston City,IL,USA,Disk,A metallic disc was hovering above the lake.,,
Open !,02/14/2025 19:00,Windham,NH,USA,Triangle,Getting off highway in car with family we saw two football field wide triangle objects floating or slowly moving north above windham,,
Open !,02/12/2025 21:30,San Antonio,TX,USA,Chevron,Large craft with multiple white lights.,,Aircraft?
Open !,02/07/2025 18:23,West Valley City,UT,USA,Triangle,I just woke up! And I usually see outside my windows when I wake up and I saw this triangular prism shaped craft above the trees,Y,
Open !,01/31/2025 08:31,Taylor Mill,KY,USA,Changing,"noticed a strange black, silent craft",Y,
Open !,01/27/2025 21:30,Athens,GA,USA,Other,Noticed bright blue glowing lights behind subdivision tonight and saw a huge upside-down Pyramid rotating glowing red on bottom,,
Open !,01/27/2025 06:45,Longview,WA,USA,Triangle,"Saw unusual lights in distance, craft crossed over me from east of I5 to west, flew low and slow. Was big triangle.",,
Open !,01/26/2025 05:58,Oakland,CA,USA,Disk,I dont think i was dreaming but i saw two saucers fly towards me from the sky with lights and then an alien appear in my apartment,,Dream?
Open !,01/26/2025 00:37,Leeds,ME,USA,Other,Sphere descended from the sky and hovered about 40 feet off the ground. A tube of blue light came down and touched the Earth.,,
Open !,01/25/2025 17:59,Mount Vernon,NY,USA,Disk,The UFO was hovering approximately 250 above my apartment building,,
Open !,01/22/2025 19:30,,,Mexico,Oval,Oval shape craft sighted through the cockpit over the Gulf of Mexico,,
Open !,01/22/2025 02:02,Saint Marys,ON,Canada,Unknown,"Driving home, came up hill and blinded by bright red and white lights.",,Drone?
Open !,01/21/2025 22:35,Germantown,WI,USA,Circle,My husband was sleeping and I was on the brink of sleep. We heard a LOUD noise. I jumped out of bed and saw a UFO flying over our pond.,Y,
Open !,01/20/2025 20:07,Watson Lake,YT,Canada,Sphere,"A sphere with three bright white feather like surrounding it, I saw this in detail it was spectacular",Y,
Open !,01/20/2025 06:20,Coos Bay,OR,USA,Circle,I counted thirty objects appear out of the west and maintained a heading traveling north,,
Open !,01/19/2025 20:44,Nuggetty,Victoria,Australia,Circle,Disk shaped object captured in very clear photos,Y,
Open !,01/19/2025 03:00,Port St. Lucie,FL,USA,Changing,"About 3am my daughter asleep , woke up with light blinding her while in bed from neighbor's house. Object quiet but above bamboo tree.",,
Open !,01/17/2025 04:04,Gresham,SC,USA,Egg,"Out this world - shaped like an egg and almost the size of a car, didn’t move in the powerful wind, very close.",Y,
